reviewid,genre
20519,global
20519,pop/r&b
20659,rap
20407,rock
20634,electronic
20656,pop/r&b
20605,pop/r&b
20597,folk/country
20538,global
20538,electronic
20564,rap
20549,electronic
20458,electronic
20412,rock
20551,rock
20563,experimental
20547,metal
20661,rap
20545,
20613,rock
20550,electronic
20630,electronic
20624,rock
20633,rap
20572,rock
20614,electronic
20611,rock
20515,
20553,electronic
20610,rock
20622,rap
20612,rock
20590,rock
20561,rap
20596,rock
20621,rap
20581,metal
20620,pop/r&b
20571,electronic
20589,electronic
20602,electronic
20580,electronic
20457,experimental
20441,rock
20442,rock
20626,electronic
20604,rock
20506,electronic
20570,electronic
